Code Language,Industry,Topic,Prompt ID,o4-mini-high - Completeness (count of 5s),o4-mini-high - Correctness (count of 5s),o4-mini-high - Relevance (count of 5s),Gemini 2.5 Pro - Completeness (count of 5s),Gemini 2.5 Pro - Correctness (count of 5s),Gemini 2.5 Pro - Relevance (count of 5s),Claude Opus 4 - Completeness (count of 5s),Claude Opus 4 - Correctness (count of 5s),Claude Opus 4 - Relevance (count of 5s)
Cpp,Gaming,Simple 2D Physics Engine,380,0,0,2,2,1,2,3,2,2
Cpp,Gaming,Procedural Level Generator,381,0,0,1,1,1,2,3,3,3
Cpp,Gaming,Command‑Line Multiplayer Lobby,382,0,0,3,1,1,2,2,0,2
Cpp,Gaming,Shader Demo with OpenGL,383,0,0,2,1,0,3,0,0,0
Cpp,IoT,MQTT Temperature Publisher,384,0,0,3,1,0,2,1,0,1
Cpp,IoT,GPIO‑Based Home Alarm,385,1,0,3,1,0,2,2,0,3
Cpp,IoT,Over‑The‑Air (OTA) Update Simulator,386,2,2,3,2,0,2,1,1,3
Cpp,IoT,Edge Analytics with SQLite,387,0,0,2,0,0,2,3,0,3
Cpp,Security,Password Strength Estimator,388,0,0,0,0,1,1,2,1,0
Cpp,Security,Simple TLS Client,389,0,0,1,1,0,1,2,1,3
Java,E‑Commerce,SKU Demand Forecasting,370,2,2,3,2,2,3,3,2,2
Java,E‑Commerce,Order Confirmation PDF Generator,371,1,1,2,2,1,2,1,1,1
Java,E‑Commerce,Real‑Time Stock Availability Polling,372,1,1,3,2,1,1,2,2,3
Java,E‑Commerce,Shopping Cart Price Rules Engine,373,2,2,3,1,2,3,3,2,3
Java,E‑Commerce,Coupon Code Generator & Validator,374,2,2,2,3,3,3,1,1,2
Java,CRM,Lead Scoring via Rule Engine,375,1,1,3,3,3,3,1,1,1
Java,CRM,Email Template Personalization,376,2,2,2,3,3,3,2,2,3
Java,CRM,Activity Timeline Aggregator,377,1,1,3,2,3,3,0,0,2
Java,Hotel,Room Availability Calendar,378,3,3,3,3,3,3,2,1,3
Java,Hotel,Dynamic Pricing Engine,379,3,2,3,3,3,3,3,2,2
Python,Machine Learning,Time‑Series Anomaly Detection,360,0,0,2,2,2,2,2,2,2
Python,Machine Learning,Few‑Shot Text Classification,361,0,0,1,0,0,2,1,2,2
Python,Machine Learning,Image Captioning with CNN+RNN,362,1,0,3,0,1,3,1,1,3
Python,Machine Learning,Reinforcement Learning for Grid Navigation,363,0,0,3,2,2,3,0,0,3
Python,Machine Learning,Unsupervised Representation Learning,364,0,0,3,1,0,2,1,1,3
Python,FinTech,Portfolio Optimization,365,0,0,2,1,0,1,2,2,3
Python,FinTech,Option Pricing via Monte Carlo,366,2,2,2,0,0,0,2,0,1
Python,FinTech,Credit‑Card Fraud Detection,367,1,1,2,0,1,1,0,0,1
Python,EdTech,Adaptive Quiz Engine,368,0,0,3,0,0,3,3,1,3
Python,EdTech,Knowledge Graph Recommendations,369,0,1,2,0,2,3,0,1,3
javascript,Social Networking,Client‑Side Friend‑Suggestion Algorithm,390,0,0,1,1,2,2,3,2,2
javascript,Social Networking,Real‑Time Chat via WebSockets,391,1,0,3,1,1,3,3,1,2
javascript,Social Networking,Activity Feed Renderer,392,0,0,1,3,1,3,2,0,3
javascript,Social Networking,Offline Draft Storage,393,1,1,3,0,2,3,3,2,2
javascript,Media,Image Metadata Extractor,394,1,0,3,1,0,2,2,0,3
javascript,Media,Canvas‑Based Audio Visualizer,395,0,0,3,2,1,1,2,1,2
javascript,Media,Client‑Side Video Cutter,396,1,1,2,2,1,2,1,0,1
javascript,Streaming,Adaptive Bitrate Player,397,0,0,2,2,2,3,1,1,2
javascript,Streaming,Live Comments Overlay,398,2,2,3,2,2,3,2,2,3
javascript,Streaming,Segmented Download & Play,399,0,1,3,2,3,3,1,1,2
