Code Language,Prompt ID,Domain,Prompt,Chat GPT o4-mini-high Human Coherence,Chat GPT o4-mini-high Human Completeness,Chat GPT o4-mini-high Human Correctness,Chat GPT o4-mini-high Human Creativity,Chat GPT o4-mini-high Human Helpfulness,Chat GPT o4-mini-high Human Relevance,Chat GPT o4-mini-high Human Style Presentation,Gemini 2.5 pro Human Coherence,Gemini 2.5 pro Human Completeness,Gemini 2.5 pro Human Correctness,Gemini 2.5 pro Human Creativity,Gemini 2.5 pro Human Helpfulness,Gemini 2.5 pro Human Relevance,Gemini 2.5 pro Human Style Presentation,Claude Opus 4 Human Coherence,Claude Opus 4 Human Completeness,Claude Opus 4 Human Correctness,Claude Opus 4 Human Creativity,Claude Opus 4 Human Helpfulness,Claude Opus 4 Human Relevance,Claude Opus 4 Human Style Presentation
Python,360,Machine Learning,"I lead data initiatives at a major energy utility. I need a Python engine for time-series anomaly detection on streaming data from smart meters, grid sensors, and operational logs. The system should catch abrupt changes, seasonal shifts, and multi-scale trends, flagging true anomalies while reducing false alerts from environmental noise. It must integrate seamlessly with our data pipelines using frameworks like PySpark, adapt automatically to evolving data without frequent retraining, and provide root-cause explanations as short textual summaries or feature attribution scores for each alert. All code should use type hints, Google-style docstrings, and be clearly structured for maintainability. The engine should be accessible for other services and support alerting via email and SMS. Full compliance with data privacy standards is required. The solution must be extensible for future sensor types and analytics. Return the code in a single file.",5,3,4,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Python,360,Machine Learning,"I lead data initiatives at a major energy utility. I need a Python engine for time-series anomaly detection on streaming data from smart meters, grid sensors, and operational logs. The system should catch abrupt changes, seasonal shifts, and multi-scale trends, flagging true anomalies while reducing false alerts from environmental noise. It must integrate seamlessly with our data pipelines using frameworks like PySpark, adapt automatically to evolving data without frequent retraining, and provide root-cause explanations as short textual summaries or feature attribution scores for each alert. All code should use type hints, Google-style docstrings, and be clearly structured for maintainability. The engine should be accessible for other services and support alerting via email and SMS. Full compliance with data privacy standards is required. The solution must be extensible for future sensor types and analytics. Return the code in a single file.",4,3,4,3,3,4,4,4,4,4,4,4,4,5,4,3,3,3,3,3,4
Python,360,Machine Learning,"I lead data initiatives at a major energy utility. I need a Python engine for time-series anomaly detection on streaming data from smart meters, grid sensors, and operational logs. The system should catch abrupt changes, seasonal shifts, and multi-scale trends, flagging true anomalies while reducing false alerts from environmental noise. It must integrate seamlessly with our data pipelines using frameworks like PySpark, adapt automatically to evolving data without frequent retraining, and provide root-cause explanations as short textual summaries or feature attribution scores for each alert. All code should use type hints, Google-style docstrings, and be clearly structured for maintainability. The engine should be accessible for other services and support alerting via email and SMS. Full compliance with data privacy standards is required. The solution must be extensible for future sensor types and analytics. Return the code in a single file.",5,3,4,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Python,361,Machine Learning,I am a legal technology specialist at a compliance consulting firm. I need to build a few-shot text classification tool that leverages meta-learning to categorize compliance clauses in new regulatory documents with minimal annotated examples. The system must ensure GDPR and local privacy adherence. It should also support integration with legal document management platforms and produce detailed audit logs for all predictions. Please implement this solution in Python in a single file with code comments and regulatory awareness embedded in data-processing steps.,4,4,4,3,4,3,3,4,2,3,2,3,2,4,5,4,4,4,4,4,5
Python,361,Machine Learning,I am a legal technology specialist at a compliance consulting firm. I need to build a few-shot text classification tool that leverages meta-learning to categorize compliance clauses in new regulatory documents with minimal annotated examples. The system must ensure GDPR and local privacy adherence. It should also support integration with legal document management platforms and produce detailed audit logs for all predictions. Please implement this solution in Python in a single file with code comments and regulatory awareness embedded in data-processing steps.,5,4,4,3,4,5,5,5,4,4,3,4,5,5,5,4,5,5,4,5,5
Python,361,Machine Learning,I am a legal technology specialist at a compliance consulting firm. I need to build a few-shot text classification tool that leverages meta-learning to categorize compliance clauses in new regulatory documents with minimal annotated examples. The system must ensure GDPR and local privacy adherence. It should also support integration with legal document management platforms and produce detailed audit logs for all predictions. Please implement this solution in Python in a single file with code comments and regulatory awareness embedded in data-processing steps.,4,3,3,3,4,4,4,5,4,4,4,5,5,5,5,5,5,5,5,5,5
Python,362,Machine Learning,"I’m an AI solutions architect designing a medical imaging captioning system for radiology diagnostics. I want a highly modular, production-ready Python component that loads a pretrained ResNet50 (without classification head), processes a batch of grayscale or RGB chest X-ray images, and outputs compact 2048-dimensional embeddings ready to feed into an LSTM-based decoder. The code should handle preprocessing, feature extraction, and dimension projection if required. While ensuring device compatibility (CPU/GPU), batching, and extensibility for other CNN backbones. Just provide the backend code in python for feature extractor in a single file with clean interfaces, detailed docstrings, and industry-quality structure.",5,3,3,2,3,5,4,5,4,5,3,4,5,5,5,3,5,4,2,5,4
Python,362,Machine Learning,"I’m an AI solutions architect designing a medical imaging captioning system for radiology diagnostics. I want a highly modular, production-ready Python component that loads a pretrained ResNet50 (without classification head), processes a batch of grayscale or RGB chest X-ray images, and outputs compact 2048-dimensional embeddings ready to feed into an LSTM-based decoder. The code should handle preprocessing, feature extraction, and dimension projection if required. While ensuring device compatibility (CPU/GPU), batching, and extensibility for other CNN backbones. Just provide the backend code in python for feature extractor in a single file with clean interfaces, detailed docstrings, and industry-quality structure.",5,4,4,3,4,5,5,5,4,4,3,4,5,5,5,4,4,4,5,5,5
Python,362,Machine Learning,"I’m an AI solutions architect designing a medical imaging captioning system for radiology diagnostics. I want a highly modular, production-ready Python component that loads a pretrained ResNet50 (without classification head), processes a batch of grayscale or RGB chest X-ray images, and outputs compact 2048-dimensional embeddings ready to feed into an LSTM-based decoder. The code should handle preprocessing, feature extraction, and dimension projection if required. While ensuring device compatibility (CPU/GPU), batching, and extensibility for other CNN backbones. Just provide the backend code in python for feature extractor in a single file with clean interfaces, detailed docstrings, and industry-quality structure.",5,5,4,4,5,5,5,5,4,4,5,5,5,5,5,5,4,5,5,5,5
Python,363,Machine Learning,"I am the chief AI developer at a robotics startup, tasked with creating a Python-based reinforcement learning system that allows multiple agents to navigate a 25×25 grid featuring unpredictable obstacles and shifting goals. Each agent must decide within 60ms, under intermittent sensor data loss, while logging all state-action pairs with timestamps. The system must comply with ROS2 standards, support real-time retraining during live simulations. The final deliverable should be secure, modular, well-documented, and optimized for performance. Choose the best algorithm for this task and provide code in a single python file.",5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5
