Code Language,Prompt ID,Domain,Prompt,Chat GPT o4-mini-high Human Completeness,Chatgpt Human Completeness Justification,Chat GPT o4-mini-high Human Correctness,Chatgpt Human Correctness Justification,Chat GPT o4-mini-high Human Relevance,Chatgpt Human Relevance Justification,Gemini 2.5 pro Human Completeness,Gemini Human Completeness Justification,Gemini 2.5 pro Human Correctness,Gemini Human Correctness Justification,Gemini 2.5 pro Human Relevance,Gemini Human Relevance Justification,Claude Opus 4 Human Completeness,Claude Human Completeness Justification,Claude Opus 4 Human Correctness,Claude Human Correctness Justification,Claude Opus 4 Human Relevance,Claude Opus 4 Human Relevance
Python,360,Machine Learning,"create a high-performance Java application to generate secure, customized order confirmation PDFs for an e-commerce platform. Handle scenarios such as split shipments, backorders, and promotional coupons. Use iText for PDF generation and Bouncy Castle for encrypting sensitive data, following industry best practices. Implement multithreading for handling concurrent order requests efficiently. Optimize PDFs for print and digital use, focusing on file size and image quality. Ensure compliance with data protection regulations. Use Gradle as the build tool. All code must be in a single .java file and follow modern Java standards. Include comprehensive test coverage: unit, integration, and performance tests.",3,"There are no real privacy compliance, no API/service interface for access by other services, no feature attribution scores in explanations in the code. Some style/completeness is omitted.",4,There are some minor inaccuracies in the explanation and information.,5,,5,,5,,5,,5,,5,,5,5
Python,360,Machine Learning,"I lead data initiatives at a major energy utility. I need a Python engine for time-series anomaly detection on streaming data from smart meters, grid sensors, and operational logs. The system should catch abrupt changes, seasonal shifts, and multi-scale trends, flagging true anomalies while reducing false alerts from environmental noise. It must integrate seamlessly with our data pipelines using frameworks like PySpark, adapt automatically to evolving data without frequent retraining, and provide root-cause explanations as short textual summaries or feature attribution scores for each alert. All code should use type hints, Google-style docstrings, and be clearly structured for maintainability. The engine should be accessible for other services and support alerting via email and SMS. Full compliance with data privacy standards is required. The solution must be extensible for future sensor types and analytics. Return the code in a single file.",3,"The code addresses the core goals: streaming time-series handling, basic anomaly detection, integration stubs for alerting, and basic modularity. However, deeper elements like feature attribution, PySpark integration, adaptive models, and compliance hooks are only superficially handled or completely absent.",4,"The implementation correctly builds a basic anomaly detection engine using a rolling z-score method with email/SMS alert stubs. It runs and adheres to standard practice, but lacks deeper modeling like seasonal decomposition or multi-scale trend analysis, which limits how well it matches the detection goals.",4,"The code addresses the core goals: streaming time-series handling, basic anomaly detection, integration stubs for alerting, and basic modularity. However, deeper elements like feature attribution, PySpark integration, adaptive models, and compliance hooks are only superficially handled or completely absent.",4,"Compared to Response 1, this is more complete. It includes a scikit-learn pipeline with feature scaling, an actual anomaly model, and hooks for alerting. However, it lacks (a) feature attribution/root cause, (b) PySpark integration, (c) support for new sensor types, and (d) email/SMS implementation details.",4,"The code includes a valid anomaly detection pipeline using Isolation Forest, handles streaming input simulation, and integrates alerting via stub functions. It correctly uses typing, logging, and model prediction, but lacks online learning or adaptive updates critical for evolving data.",4,"The response addresses the core needs: anomaly detection (Isolation Forest), streaming simulation, alerting, and partial modularity. It includes good scaffolding for integration, but misses PySpark integration and automated adaptation for evolving patterns.",3,"It covers the basic architecture: streaming ingestion, anomaly model interface, and alert handler. However, none of these are complete: there is no real model, no feature attribution/root cause, no actual email/SMS integration, and no adaptive learning.",3,"The code outlines streaming ingestion, PySpark usage, and some basic anomaly detection using a placeholder model. However, the model (SimpleAnomalyDetector) is a naive placeholder that lacks any statistical, ML-based, or signal decomposition logic. Also, detect does not implement any meaningful detection logic.",3,3
Python,360,Machine Learning,"I lead data initiatives at a major energy utility. I need a Python engine for time-series anomaly detection on streaming data from smart meters, grid sensors, and operational logs. The system should catch abrupt changes, seasonal shifts, and multi-scale trends, flagging true anomalies while reducing false alerts from environmental noise. It must integrate seamlessly with our data pipelines using frameworks like PySpark, adapt automatically to evolving data without frequent retraining, and provide root-cause explanations as short textual summaries or feature attribution scores for each alert. All code should use type hints, Google-style docstrings, and be clearly structured for maintainability. The engine should be accessible for other services and support alerting via email and SMS. Full compliance with data privacy standards is required. The solution must be extensible for future sensor types and analytics. Return the code in a single file.",3,"There are no real compliance, no API/service interface for access by other service.",4,There are inaccuracies in explanation,5,,5,,5,,5,,5,,5,,5,5
Python,361,Machine Learning,I am a legal technology specialist at a compliance consulting firm. I need to build a few-shot text classification tool that leverages meta-learning to categorize compliance clauses in new regulatory documents with minimal annotated examples. The system must ensure GDPR and local privacy adherence. It should also support integration with legal document management platforms and produce detailed audit logs for all predictions. Please implement this solution in Python in a single file with code comments and regulatory awareness embedded in data-processing steps.,4,"The code uses transformers, scikit-learn, and setfit, which are appropriate for few-shot classification. The overall structure appears functional, and the training loop and predictions are technically valid. However, the code lacks actual meta-learning logic or dynamic adaptation with minimal data—core to the prompt's request.",4,"Technically sound, but incorrectly treats few-shot learning as simple fine-tuning. No real meta-learning (e.g., MAML or prototypical networks).",3,Partially aligned. Core requirement of meta-learning is misunderstood. Some effort on GDPR awareness and logging is commendable.,2,Minimal viable logic only. Lacks several core features described in the prompt.,3,"It works as a basic classifier, but not suitable for the task at hand. Does not reflect few-shot or meta-learning strategies accurately.",2,Misaligned. Misinterprets core concepts. Performs basic clause classification but does not satisfy compliance tech needs or regulatory awareness.,4,"Functionally solid and prompt-aligned, but not fully production-ready in audit or integration layers.",4,"Correct overall modeling for few-shot setting, but lacks true meta-learning techniques like MAML or training episodes. GDPR enforcement is superficial but present.",4,4
Python,361,Machine Learning,I am a legal technology specialist at a compliance consulting firm. I need to build a few-shot text classification tool that leverages meta-learning to categorize compliance clauses in new regulatory documents with minimal annotated examples. The system must ensure GDPR and local privacy adherence. It should also support integration with legal document management platforms and produce detailed audit logs for all predictions. Please implement this solution in Python in a single file with code comments and regulatory awareness embedded in data-processing steps.,4,Covers all requirements but misses edge cases,4,"lacks advanced error handling (e.g., no input validation for PII patterns).",5,,4,Missing PII recovery audit trail. No example for key rotation.,4,Fails to prevent regex DoS attacks in PII patterns. No model versioning in audits.,5,,4,"Missing Automated key rotation example, Multi-language PII detection",5,,5,5
Python,361,Machine Learning,I am a legal technology specialist at a compliance consulting firm. I need to build a few-shot text classification tool that leverages meta-learning to categorize compliance clauses in new regulatory documents with minimal annotated examples. The system must ensure GDPR and local privacy adherence. It should also support integration with legal document management platforms and produce detailed audit logs for all predictions. Please implement this solution in Python in a single file with code comments and regulatory awareness embedded in data-processing steps.,3,"While the code includes PII redaction, encryption, audit logging, and integration stubs, it lacks critical components for production legal systems: proper key management, comprehensive PII detection, data retention policies, consent management, and robust error handling.",3,"The code has fundamental technical issues that compromise its correctness. The ""prototypical network"" implementation is overly simplistic (just computing mean embeddings), the PII redaction patterns are basic and would miss many real-world cases, and the encryption approach stores keys in code rather than secure key management.",4,"The meta-learning component is superficial rather than implementing genuine meta-learning algorithms, and the regulatory compliance is basic rather than comprehensive.",4,"It still lacks the DMS integration capabilities mentioned in the prompt, proper key management for production deployment, and more sophisticated meta-learning algorithms that would constitute true meta-learning rather than basic few-shot learning.",4,"The meta-learning approach is still quite basic - while more sophisticated than Response 1's approach, it's essentially prototypical networks without true episodic training or gradient-based meta-learning like MAML.",5,,5,,5,,5,5
Python,362,Machine Learning,"I’m an AI solutions architect designing a medical imaging captioning system for radiology diagnostics. I want a highly modular, production-ready Python component that loads a pretrained ResNet50 (without classification head), processes a batch of grayscale or RGB chest X-ray images, and outputs compact 2048-dimensional embeddings ready to feed into an LSTM-based decoder. The code should handle preprocessing, feature extraction, and dimension projection if required. While ensuring device compatibility (CPU/GPU), batching, and extensibility for other CNN backbones. Just provide the backend code in python for feature extractor in a single file with clean interfaces, detailed docstrings, and industry-quality structure.",3,Lacks key rotation implementation and non-English PII patterns. No DMS integration code.,3,Missing input validation for empty strings and non-text inputs. No error handling for encryption failures.,5,,4,"Lacks config save/load, no metadata, no L2 normalization or dropout control, and doesn’t support inputs beyond PIL images.",5,,5,,3,The code has runtime failure and no working fallback mechanisms hurt coverage.,5,Execution fails due to invalid input handling. Doesn’t convert tensors to compatible formats internally.,5,5
Python,362,Machine Learning,"I’m an AI solutions architect designing a medical imaging captioning system for radiology diagnostics. I want a highly modular, production-ready Python component that loads a pretrained ResNet50 (without classification head), processes a batch of grayscale or RGB chest X-ray images, and outputs compact 2048-dimensional embeddings ready to feed into an LSTM-based decoder. The code should handle preprocessing, feature extraction, and dimension projection if required. While ensuring device compatibility (CPU/GPU), batching, and extensibility for other CNN backbones. Just provide the backend code in python for feature extractor in a single file with clean interfaces, detailed docstrings, and industry-quality structure.",4,"The grayscale handling in preprocessing is incomplete for numpy arrays, there's no validation for input image formats or dimensions, and medical-specific preprocessing considerations (like DICOM handling or intensity windowing) are absent. The registry pattern provides extensibility but lacks comprehensive error handling.",4,"The Lambda function converts images but doesn't handle numpy arrays properly, it assumes PIL Images for the .convert(""RGB"") method, which could cause runtime errors with numpy inputs. The preprocessing also uses standard ImageNet normalization which may not be optimal for medical images.",5,,4,"The factory pattern shows only ResNet50 implemented, the structure is there for adding other backbones. The missing dimension projection is not critical since ResNet50 naturally outputs 2048-D features. Input validation could be stronger, but basic functionality is complete.",4,"The CenterCrop choice, while potentially suboptimal for medical images, is a standard practice that won't cause technical failures. The main issue is the lack of medical-specific considerations rather than fundamental correctness problems.",5,,4,"Provides projection layer and config save, yet lacks optional dimension-projection for reduction below 2,048 D and omits hooks to swap backbones beyond registry stubs.",4,"Core logic works, but the custom preprocessing loop normalizes each image individually with transform(img) on already–tensor data—converting tensors back to PIL is unsupported, risking runtime errors for tensor inputs.",5,5
Python,362,Machine Learning,"I’m an AI solutions architect designing a medical imaging captioning system for radiology diagnostics. I want a highly modular, production-ready Python component that loads a pretrained ResNet50 (without classification head), processes a batch of grayscale or RGB chest X-ray images, and outputs compact 2048-dimensional embeddings ready to feed into an LSTM-based decoder. The code should handle preprocessing, feature extraction, and dimension projection if required. While ensuring device compatibility (CPU/GPU), batching, and extensibility for other CNN backbones. Just provide the backend code in python for feature extractor in a single file with clean interfaces, detailed docstrings, and industry-quality structure.",5,,4,This response uses deprecated pretrained=True parameter instead of the newer weights parameter in torchvision.,5,,4,"The prompt mentions missing the ""dimension projection if required"" capability which was not implemented in the code.",4,"Instead of using the latest weights parameter in torchvision, this response uses deprecated pretrained=True parameter.",5,,5,,4,This response uses deprecated pretrained=True parameter and some potentially error-prone manual tensor manipulation in the preprocessing pipeline that could introduce edge case bugs.,5,5
Python,363,Machine Learning,"I am the chief AI developer at a robotics startup, tasked with creating a Python-based reinforcement learning system that allows multiple agents to navigate a 25×25 grid featuring unpredictable obstacles and shifting goals. Each agent must decide within 60ms, under intermittent sensor data loss, while logging all state-action pairs with timestamps. The system must comply with ROS2 standards, support real-time retraining during live simulations. The final deliverable should be secure, modular, well-documented, and optimized for performance. Choose the best algorithm for this task and provide code in a single python file.",4,"The code provides a robust foundation, including commentary on where real-world integration is needed. It covers nearly all requirements but leaves security (authentication, encryption) and certain ROS2-specific publisher implementations as placeholders to be completed by the user, rather than supplying an end-to-end, production-ready file.",4,"The code accurately implements a modular, multi-agent Double-DQN framework as requested and integrates prioritized replay, PyTorch, ROS2 compliance, logging, and a background retraining thread. The approach handles intermittent sensor data loss and measures inference timing. However, actual interaction with physical robots or a genuine simulation is not shown—sensor inputs and action publishers are stubbed or mocked, and some critical security details (such as authentication and encryption) are gestured at but not implemented.",5,,5,,5,,5,,4,"The implementation includes advanced features, sensor loss management, concurrent agent processing, modular neural networks, security checks and a full reference PPO algorithm, plus documentation and logging. Still, functions like sensor integration, sum-agent management, and complex ROS2 message flow are implemented with basic interface examples or placeholders (e.g., no custom messages, some environment effects simulated in code rather than through concrete ROS topics or services).",4,"The code delivers a solid multi-agent reinforcement learning implementation using PPO, a well-regarded algorithm for stability and continuous learning. Core requirements—such as ROS2 modularity, action decision within 60ms, sensor loss handling, secure logging, and thread safety—are robustly addressed. However, the environment's real-time ground-truth integration (e.g., direct effects of commands on physical/simulated robots and multi-agent dynamics handling) is less explicit than in some other responses.",5,5
